CODIGO_BECA;AGNO_FALLO;TIPO_INSTRUMENTO;PALABRAS_CLAVE
81180262;2018;ASISTENCIA A EVENTOS;"TEORIA, ANALISIS Y CRITICA LITERARIAS ; CRITICA DE TEXTOS ; TEORIA, ANALISIS Y CRITICA LITERARIAS ; ANALISIS LITERARIO"
81180264;2018;ASISTENCIA A EVENTOS;"CIENCIAS VETERINARIAS  ; MICROBIOLOGIA  ; CIENCIAS VETERINARIAS  ; ENFERMEDADES INFECCIONSAS BACTERIANAS ; TECNOLOGIA DE LOS ALIMENTOS  ; MICROBIOLOGIA DE ALIMENTOS"
81180266;2018;ASISTENCIA A EVENTOS;"CIENCIAS AMBIENTALES ; CIENCIAS MULTIDISCIPLINARIAS E INTERDISCIPLINARIAS ; ANTROPOLOGIA  AREAS Y TEMATICAS ; MEDIOAMBIENTE ; PROBLEMAS SOCIALES ; EXCLUSION SOCIAL"
81180267;2018;ASISTENCIA A EVENTOS;"FISIOLOGIA HUMANA  ; NEUROFISIOLOGIA"
81180274;2018;ASISTENCIA A EVENTOS;"BIOQUIMICA  ; BIOQUIMICA  ; BIOLOGIA CELULAR ; CULTIVO CELULAR"
81180275;2018;ASISTENCIA A EVENTOS;"MICROBIOLOGIA  ; BACTERIOLOGIA"
81180278;2018;ASISTENCIA A EVENTOS;"NEUROCIENCIAS ; NEUROFISIOLOGIA"
81180280;2018;ASISTENCIA A EVENTOS;"GEOQUIMICA ; GEOCRONOLOGIA Y RADIOISOTOPOS ; GEOLOGIA ; MINERALOGIA ; ARQUEOLOGIA ; ARQUEOMETRIA"
81180286;2018;ASISTENCIA A EVENTOS;"TEORIA, ANALISIS Y CRITICA LITERARIAS ; CRITICA DE TEXTOS ; TEORIA, ANALISIS Y CRITICA LITERARIAS ; ANALISIS LITERARIO ; TEORIA, ANALISIS Y CRITICA LITERARIAS ; ESTILO Y ESTETICA LITERARIOS "
81180288;2018;ASISTENCIA A EVENTOS;"HISTORIA POR ESPECIALIDADES ; HISTORIA DE LA LITERATURA ; TEORIA, ANALISIS Y CRITICA LITERARIAS ; ANALISIS LITERARIO ; SOCIOLOGIA CULTURAL ; SOCIOLOGIA DE LA LITERATURA"
81180296;2018;ASISTENCIA A EVENTOS;"INMUNOLOGIA  ; ANTIGENOS ; INMUNOLOGIA  ; INMUNIZACION"
81180302;2018;ASISTENCIA A EVENTOS;"QUIMICA AMBIENTAL ; QUIMICA ANALITICA ; ANALISIS CROMATOGRAFICO ; QUIMICA ANALITICA ; ESPECTROSCOPIA DE MASAS"
81180303;2018;ASISTENCIA A EVENTOS;"FISIOLOGIA HUMANA  ; FISIOLOGIA ENDOCRINA ; FISIOLOGIA HUMANA  ; NEUROFISIOLOGIA"
81180307;2018;ASISTENCIA A EVENTOS;"FISIOLOGIA HUMANA  ; FISIOLOGIA DE LA REPRODUCCION"
81180309;2018;ASISTENCIA A EVENTOS;"BIOFISICA ; BIOELECTRICIDAD ; NEUROCIENCIAS ; NEUROFISIOLOGIA"
81180316;2018;ASISTENCIA A EVENTOS;"CIENCIAS DEL SUELO (EDAFOLOGIA)  ; MICROBIOLOGIA DE SUELOS ; CIENCIAS AMBIENTALES ; CIENCIAS MULTIDISCIPLINARIAS E INTERDISCIPLINARIAS ; CIENCIAS AMBIENTALES ; CONTAMINACION DEL SUELO"
81180318;2018;ASISTENCIA A EVENTOS;"PSICOLOGIA CLINICA, PSICOPATOLOGIA, SALUD MENTAL Y PSICOTERAPIA ; TRASTORNOS DEPRESIVOS ; TRASTORNOS DE LA PERSONALIDAD"
