PROGRAMA;CONCURSO;FOLIO;PALABRAS_CLAVES
FONDECYT;FONDECYT de Postdoctorado 2017;3170467;"BIOENGINEERING;MOLECULAR BIOLOGY;BIOMASS VALUE ADDITION"
FONDECYT;FONDECYT de Iniciación en Investigación 2020;11200050;"BIOÉTICA;IDENTIDAD PERSONAL;GEN-ÉTICA"
FONDEF;SEXTO CONCURSO VALORIZACIÓN DE LA INVESTIGACIÓN EN LA UNIVERSIDAD 2016;VIU16P0024;"BIOFERTILIZANTES; LEVADURA MUERTA;HORTALIZAS"
FONDECYT;FONDECYT de Iniciación 2018;11180101;"BIOFILM FORMATION;BACTERIAL ADHESION;DENTAL CARIES"
FONDECYT;FONDECYT Regular 2017;1170103;"BIOFILM REACTOR;SULFIDE;NITRIFICATION-DENITRIFICATION"
FONDECYT;FONDECYT Regular 2016;1160702;"BIOFILM;C-DI-GMP PATHWAY;ACIDITHIOBACILLUS BIOMINING"
FONDECYT;FONDECYT Regular 2018;1181326;"BIOFILM;CU-NI ALLOYS;SEAWATER"
FONDECYT;FONDECYT Regular 2017;1171357;"BIOFILM;PISCIRICKETTSIA SALMONIS;SALMO SALAR"
FONDECYT;FONDECYT de Iniciación en Investigación 2019;11190348;"BIOFILMS;DRUG DELIVERY;CHRONIC WOUNDS"
FONDECYT;FONDECYT Regular 2019;1190521;"BIOFILTRATION;POLYCYCLIC AROMATIC COMPOUNDS BIODEGRADATION;MICROBIAL COMMUNITY"
FONDEF;SEXTO CONCURSO VALORIZACIÓN DE LA INVESTIGACIÓN EN LA UNIVERSIDAD 2016;VIU16P0070;"BIOFILTROS;ALGAS PARDAS;REMEDIACIÓN"
FONDECYT;FONDECYT de Iniciación en Investigación 2019;11190122;"BIOFIMS;ANTIBACTERIAL CAPACITY;WASTE FROM THE APPLE INDUSTRY"
FONDECYT;FONDECYT de Postdoctorado 2019;3190731;"BIOFÍSICA DE PROTEÍNAS;BIOLOGÍA ESTRUCTURAL;BIOQUÍMICA"
FONDECYT;FONDECYT Regular 2017;1170745;"BIOFLAVOURS;FERMENTATION ;METABOLIC ENGINEERING"
FONDECYT;FONDECYT de Iniciación en Investigación 2020;11200144;"BIOFLOTATION;SEAWATER;MICROORGANISMS"
FONDECYT;FONDECYT de Postdoctorado 2017;3170123;"BIOFORMULATIONS;CLIMATE CHANGE;PLANT-MICROBE INTERACTIONS"
FONDECYT;FONDECYT de Iniciación en Investigación 2019;11190358;"BIOFOULING;MULTIFUNCTIONAL COATINGS;BIOCIDE"
FONDECYT;FONDECYT Regular 2018;1180694;"BIOGEOCHEMICAL PROCESSES;OCEAN ISLAND ECOLOGY;ANTHROPOGENIC IMPACT"
FONDECYT;FONDECYT de Postdoctorado 2018;3180307;"BIOGEOCHEMISTRY;TOXINS;FJORDS"
FONDECYT;FONDECYT Regular 2018;1180211;"BIOGEOGRAPHIC CROSSROAD;HOTSPOT;RAND FLORA"
FONDECYT;FONDECYT Regular 2017;1171586;"BIOGEOGRAPHY OF NATIVE FLORA;PHYLOGENETIC DIVERSITY;ENDEMISM"
FONDECYT;FONDECYT Regular 2018;1181677;"BIOGEOGRAPHY;CLIMATE CHANGE;SPECIES DISTRIBUTIONS"
FONDECYT;FONDECYT Regular 2018;1180193;"BIOGEOGRAPHY;INVASION ECOLOGY;INVASIVE EXPANSION"
FONDECYT;FONDECYT de Iniciación 2018;11181093;"BIOGEOMORFOLOGIA;DUNAS;CHILE CENTRAL"
FONDECYT;FONDECYT de Iniciación 2017;11170431;"BIOI;PHOTOCATALYTIC TREATMENT ;AQUACULTURE'S WATERS."
FONDECYT;FONDECYT de Iniciación 2018;11180665;"BIOINFORMATIC;FUR;STRUCTURAL BIOLOGY"
FONDEF;SEXTO CONCURSO VALORIZACIÓN DE LA INVESTIGACIÓN EN LA UNIVERSIDAD 2016;VIU16P0128;"BIOINFORMÁTICA;ENZIMA;INDUSTRIA"
PCI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC). CONVOCATORIA 2018;MEC80180077;"BIOINOCULANTES ;ENMIENDAS ORGÁNICAS ;MICORRIZAS ARBUSCULARES"
FONDECYT;FONDECYT Regular 2019;1190892;"BIOLEACHING ;BIOFILMS ;METAL SULFIDES"
FONDECYT;FONDECYT Regular 2016;1161007;"BIOLEACHING;BIOFILMS;OPTIMIZATION"
PAI;INSERCIÓN DE CAPITAL HUMANO AVANZADO EN LA ACADEMIA CONVOCATORIA AÑO 2016;PAI79160143;"BIOLOGÍA ESTRUCTURAL Y COMPUTACIONAL;FORTALECIMIENTO DE LA BIOQUÍMICA;DOCENCIA PRE- Y POSTGRADO"
PCI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC). CONVOCATORIA 2018;MEC80180072;"BIOLOGIA MARINA;ECOLOGIA;INVASION ESPECIES"
FONDECYT;FONDECYT Regular 2020;1200880;"BIOLOGIA Y BIOFISICA SENSORIAL;BIOLOGIA MOLECULAR;NEUROCIENCIA COMPUTACIONAL"
FONDECYT;FONDECYT de Iniciación 2018;11181180;"BIOLOGICAL CONSERVATION;LANDSCAPE ECOLOGY;HABITAT MANAGEMENT "
FONDECYT;FONDECYT Regular 2019;1190390;"BIOLOGICAL CONTROL;ENTOMOPATHOGENIC FUNGI;NATURAL ENEMIES"
FONDECYT;FONDECYT Regular 2017;1171143;"BIOLOGICAL CONTROL;GENETIC DIVERSITY;PARASITOIDS"
FONDECYT;FONDECYT Regular 2018;1181256;"BIOLOGICAL CONTROL;PARASITOID;GENETIC DIVERSITY"
FONDECYT;FONDECYT de Postdoctorado 2017;3170718;"BIOLOGICAL PHOTOSENSITIZER;SOLAR CELLS;EXTREMOPHILES"
FONDECYT;FONDECYT Regular 2017;1170995;"BIOLOGICAL SOIL CRUSTS;ARID ENVIRONMENTS;NITROGEN CYCLE"
FONDECYT;FONDECYT de Iniciación 2017;11170842;"BIOLOGICAL SOIL CRUSTS;CYANOBACTERIA;DRYLANDS"
